user_id,variant,converted,revenue,time_on_page,pre_revenue
A-000000,A,0,0.0,84.19688986676715,13.992453717789882
A-000001,A,0,0.0,76.05063375655503,1.8901430438355398
A-000002,A,0,0.0,67.17377244337061,18.004060762258113
A-000003,A,1,118.08037206116127,66.50370378091662,19.715082447520924
A-000004,A,0,0.0,115.49590933671351,0.0
A-000005,A,0,0.0,84.02124203719619,0.0
A-000006,A,0,0.0,105.869107398316,12.400563628505568
A-000007,A,1,62.60284702149638,109.22712264126991,8.40381666890776
A-000008,A,0,0.0,97.9141036501816,11.0987895824614
A-000009,A,0,0.0,110.05108690190858,3.5726046518377794
A-000010,A,0,0.0,90.35772966548875,19.164581773765455
A-000011,A,0,0.0,124.09538471222838,18.250127418860536
A-000012,A,1,57.75446709316737,110.58541007439591,11.844276278050945
A-000013,A,0,0.0,113.91107981414378,21.3951708627123
A-000014,A,1,89.25178432756293,66.53705820547825,15.457584080268411
A-000015,A,0,0.0,96.58109467262317,3.5163678340508557
A-000016,A,0,0.0,44.12442174493684,14.56875705674249
A-000017,A,0,0.0,125.02557349707888,2.62005659253901
A-000018,A,0,0.0,74.41682967408536,19.156052711765454
A-000019,A,0,0.0,77.88245007832481,10.800666801123723
A-000020,A,0,0.0,55.815923393388324,9.586238728092654
A-000021,A,0,0.0,89.09320863765318,5.121634100364528
A-000022,A,0,0.0,83.29369469341921,22.252872048066273
A-000023,A,0,0.0,135.56744165842076,9.85923466138078
A-000024,A,0,0.0,111.48088467415758,7.395049600532035
A-000025,A,0,0.0,77.13372217377601,8.080798045605935
A-000026,A,0,0.0,48.34417619718689,16.04078266998014
A-000027,A,0,0.0,32.9082371939,14.538996579276706
A-000028,A,1,70.80635911749495,64.34366800128666,14.964593504363895
A-000029,A,0,0.0,56.71958630948286,15.127389027070944
A-000030,A,1,89.61591649803759,98.71533547294223,30.52482840783415
A-000031,A,0,0.0,86.37632435098057,7.5922648525384595
A-000032,A,0,0.0,90.43315690121914,6.639815438356164
A-000033,A,0,0.0,66.27695228795164,3.9260454457691
A-000034,A,0,0.0,93.8008098685082,16.793814803179462
A-000035,A,0,0.0,54.48983797899296,21.410750634488025
A-000036,A,0,0.0,87.7925022739513,10.224472881106124
A-000037,A,0,0.0,110.75617907402219,3.688591707337247
A-000038,A,0,0.0,80.86418045028117,3.829669058778844
A-000039,A,0,0.0,101.09109560170722,17.105335090422308
A-000040,A,1,69.54335640509757,40.5783805357364,17.939287540830982
A-000041,A,1,76.68597247323277,38.57288007717568,16.138388414746757
A-000042,A,0,0.0,98.1814683899104,5.260412634401751
A-000043,A,0,0.0,116.1754760815505,13.339451907600477
A-000044,A,1,61.836984236856956,84.04415066259685,12.300172282266555
A-000045,A,0,0.0,143.63021055648917,13.218197370561116
A-000046,A,0,0.0,53.91504973136349,19.09285900153371
A-000047,A,0,0.0,73.00040478903097,13.262359938972141
A-000048,A,0,0.0,93.50229245127251,17.360222067647054
A-000049,A,0,0.0,101.60937117921598,11.858211625400024
A-000050,A,0,0.0,75.40243248687948,13.852074588209858
A-000051,A,1,98.35701291332899,63.5183750142787,16.93159403254686
A-000052,A,0,0.0,105.50657163088484,0.0
A-000053,A,0,0.0,93.3310163992762,8.372959052784289
A-000054,A,0,0.0,81.38447444479439,7.016646111364841
A-000055,A,0,0.0,102.47036395953232,5.500099365809922
A-000056,A,0,0.0,86.59130375279409,8.773719738959846
A-000057,A,0,0.0,86.5064454200868,24.704471801109563
A-000058,A,0,0.0,85.58557672120772,3.4575199587608108
A-000059,A,0,0.0,69.47355616253208,19.964505191323326
A-000060,A,1,86.0266329295905,66.93141295049926,0.0
A-000061,A,0,0.0,76.85744200916595,8.236034730128026
A-000062,A,0,0.0,90.80177432510489,12.71477758594505
A-000063,A,0,0.0,43.21816234602389,16.526000982233505
A-000064,A,0,0.0,113.61861753835844,17.651039218135693
A-000065,A,0,0.0,90.46103143694488,18.390125116799325
A-000066,A,0,0.0,63.37276071864495,8.111474349764062
A-000067,A,0,0.0,130.4148793033841,7.088833866018896
A-000068,A,0,0.0,91.0448082240477,18.971782931314387
A-000069,A,0,0.0,56.62127927698632,9.528261076065466
A-000070,A,0,0.0,129.29302284633656,0.0
A-000071,A,0,0.0,123.87170407797596,1.050415073968674
A-000072,A,0,0.0,67.28047477732625,2.974929425985499
A-000073,A,1,37.81030480235576,81.92549704760452,15.724446696483877
A-000074,A,0,0.0,78.56032709341723,12.531831624635087
A-000075,A,1,73.09368837242303,42.76328142243338,17.464368186609914
A-000076,A,1,36.63227881703185,98.11718764735157,7.404726182971192
A-000077,A,0,0.0,111.12863513538366,12.676857219690428
A-000078,A,0,0.0,106.42222032762194,16.88031354570603
A-000079,A,0,0.0,90.81884500536447,8.465881142517855
A-000080,A,0,0.0,113.55397650719023,15.360977138016704
A-000081,A,0,0.0,61.61635396625071,5.292666530400139
A-000082,A,0,0.0,135.45703979782542,7.982515380914354
A-000083,A,0,0.0,70.69794733420792,7.814358954015038
A-000084,A,0,0.0,73.47480877066434,0.4874431896986433
A-000085,A,0,0.0,75.61960593979961,15.632752327070236
A-000086,A,0,0.0,73.7963321285892,7.025378938175486
A-000087,A,0,0.0,85.1818985881928,11.362447068549187
A-000088,A,0,0.0,84.21387957361078,15.576719930153182
A-000089,A,0,0.0,93.24099961589788,15.268780584269496
A-000090,A,0,0.0,69.53257151646899,17.238465980755077
A-000091,A,1,86.15360625509787,94.16510890050414,10.363630639415188
A-000092,A,0,0.0,62.73931765280581,7.4403151916026165
A-000093,A,0,0.0,108.31186799964652,10.532536101842409
A-000094,A,0,0.0,108.00175206759286,0.0
A-000095,A,0,0.0,89.85532723901589,0.0
A-000096,A,0,0.0,73.7575719661822,0.0
A-000097,A,0,0.0,97.77833281627522,2.274778551586664
A-000098,A,0,0.0,67.80882093514985,14.84796804051093
A-000099,A,1,72.52851651175473,90.86350578341157,3.1006885017594534
A-000100,A,0,0.0,86.20461793613934,7.846537013645493
A-000101,A,0,0.0,155.7477108416066,22.94305468007459
A-000102,A,0,0.0,59.32368710038091,8.043624260447167
A-000103,A,0,0.0,23.317251081806774,17.88764011620378
A-000104,A,0,0.0,74.06048892235644,2.8474408799111064
A-000105,A,0,0.0,47.11170952141026,9.40106197919133
A-000106,A,0,0.0,71.83262847627665,2.6998015058047695
